Date,Price,USD / MYR Price
10/24/2001,275.50,3.8
10/25/2001,276.70,3.8
10/26/2001,277.30,3.8
10/29/2001,278.60,3.8
10/30/2001,280.40,3.8
10/31/2001,278.80,3.8
11/1/2001,280.60,3.8
11/2/2001,279.90,3.8
11/5/2001,278.30,3.8
11/6/2001,279.00,3.8
11/7/2001,280.30,3.8
11/8/2001,280.00,3.8
11/9/2001,277.20,3.8
11/12/2001,280.00,3.8
11/13/2001,276.50,3.8
11/14/2001,278.30,3.8
11/15/2001,275.50,3.8
11/16/2001,274.50,3.8
11/19/2001,273.60,3.8
11/20/2001,273.00,3.8
11/21/2001,272.80,3.8
11/22/2001,272.80,3.8
11/23/2001,273.10,3.8
11/26/2001,272.60,3.8
11/27/2001,273.30,3.8
11/28/2001,274.40,3.8
11/29/2001,274.80,3.8
11/30/2001,275.50,3.8
12/3/2001,276.40,3.8
12/4/2001,276.60,3.8
12/5/2001,275.00,3.8
12/6/2001,274.60,3.8
12/7/2001,274.10,3.8
12/10/2001,272.70,3.8
12/11/2001,272.20,3.8
12/12/2001,273.50,3.8
12/13/2001,274.40,3.8
12/14/2001,277.10,3.8
12/17/2001,277.80,3.8
12/18/2001,278.90,3.8
12/19/2001,278.70,3.8
12/20/2001,276.10,3.8
12/21/2001,277.50,3.8
12/24/2001,277.50,3.8
12/25/2001,277.50,3.8
12/26/2001,277.50,3.8
12/27/2001,277.70,3.8
12/28/2001,276.50,3.8
12/31/2001,276.50,3.8
1/1/2002,276.50,#N/A
1/2/2002,278.40,3.8
1/3/2002,278.80,3.8
1/4/2002,277.80,3.8
1/7/2002,278.60,3.8
1/8/2002,278.60,3.8
1/9/2002,281.10,3.8
1/10/2002,286.90,3.8
1/11/2002,285.80,3.8
1/14/2002,286.40,3.8
1/15/2002,284.20,3.8
1/16/2002,284.60,3.8
1/17/2002,285.00,3.8
1/18/2002,283.20,3.8
1/21/2002,282.30,3.8
1/22/2002,282.10,3.8
1/23/2002,280.80,3.8
1/24/2002,279.20,3.8
1/25/2002,279.00,3.8
1/28/2002,279.10,3.8
1/29/2002,277.90,3.8
1/30/2002,281.50,3.8
1/31/2002,282.30,3.8
2/1/2002,283.90,3.8
2/4/2002,287.40,3.8
2/5/2002,292.00,3.8
2/6/2002,299.50,3.8
2/7/2002,299.50,3.8
2/8/2002,304.30,3.8
2/11/2002,297.80,3.8
2/12/2002,298.90,3.8
2/13/2002,297.40,3.8
2/14/2002,299.00,3.8
2/15/2002,299.90,3.8
2/18/2002,297.40,3.8
2/19/2002,296.50,3.8
2/20/2002,291.30,3.8
2/21/2002,292.20,3.8
2/22/2002,292.80,3.8
2/25/2002,292.00,3.8
2/26/2002,294.20,3.8
2/27/2002,297.40,3.8
2/28/2002,296.90,3.8
3/1/2002,295.40,3.8
3/4/2002,297.40,3.8
3/5/2002,297.80,3.8
3/6/2002,292.70,3.8
3/7/2002,291.00,3.8
3/8/2002,289.20,3.8
3/11/2002,291.20,3.8
3/12/2002,293.60,3.8
3/13/2002,293.20,3.8
3/14/2002,291.20,3.8
3/15/2002,290.30,3.8
3/18/2002,292.10,3.8
3/19/2002,293.10,3.8
3/20/2002,291.90,3.8
3/21/2002,292.80,3.8
3/22/2002,294.30,3.8
3/25/2002,297.70,3.8
3/26/2002,296.10,3.8
3/27/2002,299.00,3.8
3/28/2002,301.40,3.8
3/29/2002,301.40,3.8
4/1/2002,301.40,3.8
4/2/2002,304.00,3.8
4/3/2002,303.80,3.8
4/4/2002,301.70,3.8
4/5/2002,301.00,3.8
4/8/2002,300.50,3.8
4/9/2002,298.70,3.8
4/10/2002,298.00,3.8
4/11/2002,301.30,3.8
4/12/2002,300.40,3.8
4/15/2002,300.10,3.8
4/16/2002,297.80,3.8
4/17/2002,300.90,3.8
4/18/2002,304.30,3.8
4/19/2002,301.80,3.8
4/22/2002,303.70,3.8
4/23/2002,302.70,3.8
4/24/2002,304.20,3.8
4/25/2002,307.30,3.8
4/26/2002,306.60,3.8
4/29/2002,309.70,3.8
4/30/2002,308.20,3.8
5/1/2002,308.40,3.8001
5/2/2002,307.60,3.8
5/3/2002,310.50,3.8
5/6/2002,310.50,3.8
5/7/2002,312.00,3.8
5/8/2002,310.50,3.8
5/9/2002,308.90,3.8
5/10/2002,311.20,3.8
5/13/2002,310.80,3.8
5/14/2002,308.40,3.8
5/15/2002,308.30,3.8
5/16/2002,310.10,3.8
5/17/2002,310.60,3.8
5/20/2002,311.50,3.8
5/21/2002,315.20,3.8
5/22/2002,317.10,3.8
5/23/2002,317.20,3.8
5/24/2002,321.00,3.8
5/27/2002,320.10,3.8
5/28/2002,320.20,3.8
5/29/2002,327.10,3.8
5/30/2002,326.00,3.8
5/31/2002,326.60,3.8
6/3/2002,326.60,3.8
6/4/2002,326.60,3.8
6/5/2002,322.00,3.8
6/6/2002,324.10,3.8
6/7/2002,326.40,3.8
6/10/2002,322.50,3.8
6/11/2002,316.80,3.8
6/12/2002,319.80,3.7999
6/13/2002,318.80,3.8
6/14/2002,322.10,3.8
6/17/2002,317.80,3.8
6/18/2002,318.40,3.8
6/19/2002,320.70,3.8
6/20/2002,322.40,3.8
6/21/2002,322.70,3.8
6/24/2002,326.40,3.8
6/25/2002,321.70,3.8
6/26/2002,321.60,3.8
6/27/2002,318.80,3.8
6/28/2002,318.50,3.8
7/1/2002,312.10,3.8
7/2/2002,314.50,3.8
7/3/2002,310.90,3.8
7/4/2002,310.60,3.8
7/5/2002,311.30,3.8
7/8/2002,311.70,3.8
7/9/2002,313.80,3.8
7/10/2002,314.80,3.8
7/11/2002,314.20,3.8
7/12/2002,316.70,3.8
7/15/2002,319.00,3.8
7/16/2002,318.30,3.8
7/17/2002,316.20,3.8
7/18/2002,317.70,3.8
7/19/2002,322.90,3.8
7/22/2002,322.90,3.8
7/23/2002,319.70,3.8
7/24/2002,311.30,3.8
7/25/2002,309.50,3.8
7/26/2002,305.00,3.8
7/29/2002,303.00,3.8
7/30/2002,305.40,3.8
7/31/2002,304.70,3.8
8/1/2002,302.30,3.8
8/2/2002,305.10,3.8
8/5/2002,309.50,3.8
8/6/2002,305.80,3.8
8/7/2002,312.20,3.8
8/8/2002,312.20,3.8
8/9/2002,313.00,3.8
8/12/2002,316.70,3.8
8/13/2002,313.80,3.8
8/14/2002,315.70,3.8
8/15/2002,312.70,3.8
8/16/2002,314.20,3.8
8/19/2002,310.10,3.8
8/20/2002,308.00,3.8
8/21/2002,306.60,3.8
8/22/2002,305.40,3.8
8/23/2002,306.00,3.8
8/26/2002,306.00,3.8
8/27/2002,310.50,3.8
8/28/2002,311.10,3.8
8/29/2002,312.10,3.8
8/30/2002,312.80,3.8
9/2/2002,312.00,3.8
9/3/2002,313.50,3.8
9/4/2002,313.00,3.8
9/5/2002,317.60,3.8
9/6/2002,319.30,3.8
9/9/2002,322.50,3.8
9/10/2002,319.10,3.7999
9/11/2002,315.50,3.8
9/12/2002,318.90,3.8
9/13/2002,318.80,3.8
9/16/2002,315.40,3.8
9/17/2002,315.90,3.8
9/18/2002,318.70,3.8
9/19/2002,322.30,3.8
9/20/2002,322.30,3.8
9/23/2002,322.50,3.8
9/24/2002,326.30,3.8
9/25/2002,325.20,3.8
9/26/2002,319.60,3.8
9/27/2002,320.10,3.8
9/30/2002,323.70,3.8
10/1/2002,321.80,3.8
10/2/2002,322.20,3.8
10/3/2002,322.10,3.8
10/4/2002,320.30,3.8
10/7/2002,321.80,3.8
10/8/2002,319.00,3.8
10/9/2002,319.40,3.8
10/10/2002,319.00,3.8
10/11/2002,316.90,3.8
10/14/2002,317.80,3.8
10/15/2002,316.20,3.8
10/16/2002,314.10,3.8
10/17/2002,310.80,3.8
10/18/2002,312.80,3.8
10/21/2002,312.60,3.8
10/22/2002,312.60,3.8
10/23/2002,312.10,3.8
10/24/2002,311.80,3.8
10/25/2002,313.00,3.8
10/28/2002,314.50,3.8
10/29/2002,317.20,3.8
10/30/2002,316.60,3.8
10/31/2002,316.90,3.8
11/1/2002,319.90,3.8
11/4/2002,317.60,3.8
11/5/2002,318.50,3.8
11/6/2002,317.30,3.8
11/7/2002,319.30,3.8013
11/8/2002,321.70,3.7997
11/11/2002,320.70,3.8003
11/12/2002,321.80,3.8
11/13/2002,324.00,3.8
11/14/2002,318.60,3.8
11/15/2002,319.10,3.8
11/18/2002,318.80,3.8
11/19/2002,319.70,3.8
11/20/2002,318.90,3.8
11/21/2002,317.70,3.8
11/22/2002,317.70,3.8
11/25/2002,317.50,3.8
11/26/2002,317.50,3.8
11/27/2002,317.90,3.8
11/28/2002,317.60,3.8
11/29/2002,319.10,3.8
12/2/2002,316.50,3.8
12/3/2002,319.70,3.8
12/4/2002,322.10,3.8
12/5/2002,322.50,3.8
12/6/2002,325.80,3.8
12/9/2002,325.10,3.8
12/10/2002,323.10,3.8
12/11/2002,324.30,3.8
12/12/2002,326.40,3.8
12/13/2002,332.20,3.8
12/16/2002,333.00,3.8
12/17/2002,339.00,3.8
12/18/2002,338.00,3.8
12/19/2002,345.00,3.8
12/20/2002,341.60,3.8
12/23/2002,344.00,3.8
12/24/2002,344.00,3.8
12/25/2002,344.00,3.8
12/26/2002,344.00,3.8
12/27/2002,349.30,3.8
12/30/2002,347.20,3.8
12/31/2002,347.20,3.8
1/1/2003,347.20,3.8
1/2/2003,343.80,3.8
1/3/2003,344.50,3.8
1/6/2003,351.80,3.8
1/7/2003,349.00,3.8
1/8/2003,349.80,3.8
1/9/2003,352.40,3.8
1/10/2003,353.00,3.8
1/13/2003,352.60,3.8
1/14/2003,353.10,3.8
1/15/2003,351.00,3.8
1/16/2003,352.30,3.8
1/17/2003,357.00,3.8
1/20/2003,355.90,3.8
1/21/2003,353.80,3.8
1/22/2003,358.50,3.8
1/23/2003,364.70,3.8
1/24/2003,366.00,3.8
1/27/2003,368.50,3.8
1/28/2003,368.40,3.8
